FIRSTNAME | LASTNAME | TITLE | YEAR | TYPE | POSITION | GENDER
Arthur | Allardt | Poison  | 1914 | M | 1 | M
Arthur | Allardt | Put Yourself in His Place  | 1914 | M | 3 | M
Arthur | Allardt | Rose o' Paradise  | 1918 | M | 8 | M
Arthur | Allardt | Sheriff's Story, The  | 1914 | M | 1 | M
Arthur | Allardt | So Shall Ye Reap  | 1914 | M | 3 | M
Arthur | Allardt | Strange Evidence  | 1914 | M | 3 | M
Arthur | Allardt | Turning Point, The  | 1914 | M | 3 | M
Arthur | Allardt | Won by Wire  | 1914 | M | 3 | M
Kevin | Allardyce | Lost Daughter, The  | 1997 | TV |  | M
Kevin | Allardyce | Scrounger  | 1996 | TV |  | M
Kevin | Allardyce | Strike Me Silly  | 1995 | M | 1 | M
Sam | Allardyce | "Premiership, The"  | 2001 | M |  | M
Esteban | Allares | "Un, dos, tres... responda otra vez"  | 1972 | M | 20 | M
Firmin | Allary | Mascara  | 1987 | M | 52 | M
Morgan | Allas | 25 décembre 58, 10h36  | 1991 | M |  | M
Peter | Allas | Almost Guys, The  | 2004 | M |  | M
Peter | Allas | Blowback  | 2000 | a | 8 | M
Peter | Allas | Cast a Deadly Spell  | 1991 | TV | 9 | M
Peter | Allas | Columbo: Agenda for Murder  | 1990 | TV | 15 | M
Peter | Allas | Darwin Conspiracy  | 1999 | TV | 7 | M
Peter | Allas | Defenseless  | 1991 | M | 37 | M
Peter | Allas | Encino Man  | 1992 | M | 18 | M
Peter | Allas | Executive Target  | 1997 | M | 16 | M
Peter | Allas | Gin and the Rumble Within  | 2006 | M | 6 | M
Peter | Allas | Iron Maze  | 1991 | M | 7 | M
Peter | Allas | Murderous Affair: The Carolyn Warmus Story, A  | 1992 | TV | 24 | M
Peter | Allas | My Brother Jack  | 1998 | M | 4 | M
Peter | Allas | S.W.A.T.  | 2003 | M | 20 | M
Peter | Allas | Spider-Man 2  | 2004 | M | 63 | M
Peter | Allas | Streetsweeper, The  | 2002 | M |  | M
Peter | Allas | Submitted for Your Approval  | 2000 | M | 1 | M
Peter | Allas | What's Eating You?  | 2000 | M |  | M
Kyle | Allatt | Reagans, The  | 2003 | TV |  | M
Kyle | Allatt | Secret Window  | 2004 | M | 14 | M
Kyle | Allatt | Undying Love  | 2002 | M | 24 | M
Kyle | Allatt | "Petits mythes urbains"  | 2003 | M |  | M
 | Allaudin (I) | Mela  | 1948 | M | 9 | M
 | Allaudin (II) | Baghi  | 1956 | M |  | M
 | Allaudin (II) | Bandish  | 1980/II | M |  | M
 | Allaudin (II) | Bheegi Palkain  | 1952 | M |  | M
 | Allaudin (II) | Deewar  | 1954 | M |  | M
 | Allaudin (II) | Do Ansoo  | 1950 | M |  | M
 | Allaudin (II) | Gabhroo  | 1950 | M |  | M
 | Allaudin (II) | Gehra Daagh  | 1964 | M |  | M
 | Allaudin (II) | Ghairat  | 1951 | M |  | M
 | Allaudin (II) | Khizan Ke Baad  | 1955 | M |  | M
 | Allaudin (II) | Laraay  | 1950 | M |  | M
 | Allaudin (II) | Mehfil  | 1955 | M |  | M
 | Allaudin (II) | Mujrim  | 1954 | M |  | M
 | Allaudin (II) | Pattan  | 1955 | M |  | M
 | Allaudin (II) | Pheray  | 1949 | M |  | M
 | Allaudin (II) | Raat Ki Baat  | 1954 | M |  | M
 | Allaudin (II) | Shaheed  | 1962 | M |  | M
 | Allaudin (II) | Shehri Babu  | 1953 | M |  | M
 | Allaudin (II) | Tadap  | 1953 | M |  | M
Henry | Allaume | Bob le flambeur  | 1955 | M | 12 | M
Henry | Allaume | Jusqu'à plus soif  | 1962 | M |  | M
Henry | Allaume | Rafles sur la ville  | 1958 | a | 30 | M
